Country Name,Exports (% of GDP) 2018,Exports (% of GDP) 2019
Tunisia,45.4856676552874,45.4464133236832
Turkiye,31.2326925586374,33.0742147083823
Turkmenistan,29.8999852816462,24.7336007327164
Turks and Caicos Islands,..,..
Tuvalu,..,..
Uganda,15.0870530611511,17.1090580167383
Ukraine,45.2352356625927,41.2316912560049
United Arab Emirates,91.9947768689725,96.6641687543316
United Kingdom,31.5801113597336,31.63478028095
United States,12.3609892157496,11.8724701148898
Uruguay,26.500573202942,27.8103969981142
Uzbekistan,26.8410539302304,28.2980025068381
Vanuatu,41.596872147025,50.3452768729642
"Venezuela, RB",..,..
Viet Nam,84.4234560193748,85.1575871009316
Virgin Islands (U.S.),53.1226102472598,54.9623877699587
West Bank and Gaza,15.961564454493,15.5210552426533
"Yemen, Rep.",8.75559691342809,..
Zambia,37.9574045480394,34.6361926031881
Zimbabwe,26.1639731327864,27.5541564298889
Africa Eastern and Southern,25.131599582443,23.7993267224216
Africa Western and Central,..,..
Arab World,45.3127350344169,43.4705760913342
Caribbean small states,..,..
Central Europe and the Baltics,63.3019013316856,62.2293092962955
Early-demographic dividend,25.8382647301952,24.8422677728403
East Asia & Pacific,29.1031959053036,27.9187654333306
East Asia & Pacific (excluding high income),23.3126344000494,22.4063400887719
East Asia & Pacific (IDA & IBRD countries),23.3109266979787,22.4047410655745
Euro area,48.0504207559296,48.2992275823109
Europe & Central Asia,45.1191934582652,45.040117023382
Europe & Central Asia (excluding high income),34.2503603029017,33.0772351766178
Europe & Central Asia (IDA & IBRD countries),37.5831837986363,36.6481443182047
European Union,49.1190221186125,49.4036549958727
Fragile and conflict affected situations,..,..
Heavily indebted poor countries (HIPC),23.5278810867256,23.1530538073653
High income,32.1444225241716,31.3299300644095
IBRD only,25.3287085195202,24.4478174641899
IDA & IBRD total,24.8536634064785,24.0065697555716
IDA blend,..,..
IDA only,21.2488370521217,21.1447646038553
IDA total,19.5526031872868,19.4280121864905
Late-demographic dividend,28.8111823534221,28.1211013181848
Latin America & Caribbean,24.0755786826793,24.3113592087317
Latin America & Caribbean (excluding high income),22.7817408930562,23.0277821586964
Latin America & the Caribbean (IDA & IBRD countries),23.5521656248482,23.7930679646343
Least developed countries: UN classification,20.9097629576021,20.3554360271893
Low & middle income,24.0839821979275,23.2101219514268
Low income,19.5694239100588,18.4412201716763
Lower middle income,25.5487441479348,24.4077095313532
Middle East & North Africa,43.2850482834309,41.1790869903588
Middle East & North Africa (excluding high income),29.9307726371148,26.9689557524759
Middle East & North Africa (IDA & IBRD countries),30.0948731277094,27.1099143572565
Middle income,24.1608186774644,23.2927958715233
North America,13.9206972263348,13.429087430637
Not classified,..,..
OECD members,28.6925436250816,28.0790395386748
Other small states,61.3778446062884,59.7081627517001
Pacific island small states,41.3434126877811,41.7932937791283
Post-demographic dividend,29.7682980734163,28.9323729210137
Pre-demographic dividend,25.3125789906452,23.1843522558259
Small states,59.670092985947,58.0562189715849
South Asia,17.9700378161195,17.2172990466299
South Asia (IDA & IBRD),17.9700378161195,17.2172990466299
Sub-Saharan Africa,24.4382802594696,22.9398358050443
Sub-Saharan Africa (excluding high income),24.360392441136,22.8641379348209
Sub-Saharan Africa (IDA & IBRD countries),24.4382802594696,22.9398358050443
Upper middle income,23.8779151036611,23.0784389304028
World,29.1851154957674,28.3210436868211
,,
