Country Name,Country Code,Series,Series Code,2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018]
Ukraine,UKR,"Enrolment in primary education, both sexes (number)",SE.PRM.ENRL,1685030,1536578,1599250,1644263,1676550
United States,USA,"Enrolment in primary education, both sexes (number)",SE.PRM.ENRL,24538371,24785697.0405,25019051.10764,25123677.22717,24957955.89354
